16	25																							
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
9				8						8			#		8									9
9		1		8						8					8									9
9				8						8	H				8									9
9				8																				9
9		f		8	H															8	8	8	e	9
9	a	8	8	8													3			8				9
9																				8				9
9														T						8				9
9																				8				9
9				V							B									8				9
9																				8				9
9																				8				9
9											b									8			2	9
9																				8	T			9
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
